rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
3,Phoenix,1.1,17.2,15.7,4.6,0.508,0.018,237,34316,e8,act2,immortal1
4,Deadlock,1.05,15.7,15.0,4.3,0.505,0.007,208,13975,e8,act2,immortal1
5,Brimstone,0.99,14.8,15.0,9.6,0.502,0.027,206,50355,e8,act2,immortal1
6,Reyna,1.12,17.6,15.8,4.1,0.499,0.107,239,201592,e8,act2,immortal1
7,Cypher,1.02,15.0,14.7,4.5,0.498,0.093,199,175593,e8,act2,immortal1
8,Killjoy,1.04,15.2,14.6,3.1,0.497,0.043,204,80354,e8,act2,immortal1
9,Gekko,0.95,14.3,15.0,5.1,0.497,0.044,190,82658,e8,act2,immortal1
10,Astra,1.05,15.5,14.8,7.3,0.497,0.01,209,18359,e8,act2,immortal1
11,Sova,0.99,14.6,14.7,5.6,0.494,0.082,200,154328,e8,act2,immortal1
12,Viper,1.02,15.1,14.8,5.2,0.494,0.058,204,109389,e8,act2,immortal1
13,Fade,0.98,14.7,15.0,6.7,0.493,0.013,199,24907,e8,act2,immortal1
14,Raze,1.04,16.9,16.2,4.3,0.493,0.081,236,153209,e8,act2,immortal1
15,Jett,1.08,17.5,16.2,3.2,0.492,0.154,236,291194,e8,act2,immortal1
16,Skye,0.96,14.6,15.1,7.4,0.492,0.038,198,72652,e8,act2,immortal1
17,Omen,1.0,15.0,15.1,8.0,0.489,0.099,203,186274,e8,act2,immortal1
18,Chamber,1.11,16.8,15.1,2.7,0.484,0.047,222,88239,e8,act2,immortal1
19,Neon,0.97,16.1,16.6,4.3,0.475,0.005,222,9916,e8,act2,immortal1
20,Yoru,1.03,16.3,15.9,4.2,0.475,0.018,223,33767,e8,act2,immortal1
21,Breach,0.94,14.4,15.2,7.8,0.473,0.014,196,27305,e8,act2,immortal1
22,Iso,1.04,16.8,16.2,3.9,0.455,0.004,231,7756,e8,act2,immortal1
23,Harbor,0.94,14.4,15.4,6.0,0.452,0.003,194,5039,e8,act2,immortal1
24,KAY/O,0.93,14.5,15.6,9.6,0.442,0.016,203,29418,e8,act2,immortal1
1,Clove,1.0,17.9,17.9,7.6,0.537,0.001,243,2301,e8,act2,ascendant3
2,Sage,0.97,14.6,15.0,6.9,0.517,0.023,200,68087,e8,act2,ascendant3
3,Brimstone,0.99,14.7,14.9,9.5,0.509,0.028,206,81376,e8,act2,ascendant3
4,Phoenix,1.1,17.2,15.7,4.6,0.505,0.021,237,60781,e8,act2,ascendant3
5,Reyna,1.12,17.7,15.8,4.1,0.503,0.105,239,308985,e8,act2,ascendant3
6,Deadlock,1.04,15.6,15.0,4.3,0.502,0.008,208,22611,e8,act2,ascendant3
7,Cypher,1.02,15.0,14.6,4.6,0.499,0.092,200,270890,e8,act2,ascendant3
8,Killjoy,1.04,15.2,14.6,3.2,0.498,0.039,204,116464,e8,act2,ascendant3
