rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
2,Reyna,0.97,14.2,14.6,4.2,0.5,0.123,211,522444,e3,act3,iron2
3,Jett,0.93,13.5,14.5,3.9,0.51,0.098,201,414273,e3,act3,iron2
4,Raze,0.87,12.9,14.8,4.7,0.51,0.086,200,365925,e3,act3,iron2
5,Sova,0.8,11.4,14.2,4.9,0.5,0.07,172,294678,e3,act3,iron2
6,Killjoy,0.83,11.5,13.9,4.1,0.52,0.06,176,256326,e3,act3,iron2
7,Viper,0.79,11.3,14.3,4.6,0.5,0.059,168,248115,e3,act3,iron2
8,Omen,0.83,12.2,14.8,4.1,0.49,0.054,180,230673,e3,act3,iron2
9,Phoenix,0.84,12.3,14.7,3.8,0.47,0.054,185,227256,e3,act3,iron2
10,Skye,0.78,11.2,14.4,6.0,0.51,0.042,166,176409,e3,act3,iron2
11,Yoru,0.82,12.2,14.8,3.5,0.47,0.035,180,150501,e3,act3,iron2
12,Brimstone,0.81,11.7,14.4,5.2,0.49,0.035,175,149940,e3,act3,iron2
13,Chamber,0.88,12.3,14.0,3.3,0.5,0.031,181,133365,e3,act3,iron2
14,KAY/O,0.74,10.9,14.9,6.4,0.48,0.029,166,121380,e3,act3,iron2
15,Cypher,0.82,11.6,14.2,4.2,0.49,0.028,169,119901,e3,act3,iron2
16,Breach,0.8,11.9,14.9,4.7,0.51,0.015,176,64923,e3,act3,iron2
17,Astra,0.84,11.7,13.9,4.1,0.48,0.008,171,35598,e3,act3,iron2
1,Sage,0.69,9.7,14.0,5.5,0.5,0.172,144,411927,e3,act3,iron1
2,Reyna,0.94,13.3,14.2,3.9,0.5,0.119,201,283458,e3,act3,iron1
3,Jett,0.91,12.9,14.3,3.6,0.49,0.101,195,241128,e3,act3,iron1
4,Raze,0.83,12.1,14.5,4.5,0.49,0.085,190,203490,e3,act3,iron1
5,Sova,0.75,10.5,14.0,4.6,0.5,0.072,161,172584,e3,act3,iron1
6,Phoenix,0.8,11.3,14.1,3.5,0.49,0.066,174,157182,e3,act3,iron1
7,Viper,0.74,10.4,14.1,4.3,0.5,0.059,157,141627,e3,act3,iron1
8,Killjoy,0.77,10.7,13.9,3.9,0.51,0.055,165,130815,e3,act3,iron1
9,Omen,0.77,11.2,14.6,3.8,0.47,0.051,166,120921,e3,act3,iron1
10,Yoru,0.78,11.5,14.7,3.3,0.46,0.044,171,104040,e3,act3,iron1
11,Skye,0.72,10.4,14.3,5.7,0.5,0.038,155,89913,e3,act3,iron1
12,Brimstone,0.75,10.6,14.2,4.7,0.48,0.033,162,78642,e3,act3,iron1
13,KAY/O,0.7,10.3,14.7,5.9,0.48,0.029,157,69105,e3,act3,iron1
14,Chamber,0.88,12.3,13.9,3.2,0.49,0.028,181,66249,e3,act3,iron1
15,Cypher,0.78,10.9,13.8,4.0,0.49,0.027,161,65229,e3,act3,iron1
16,Breach,0.76,10.9,14.4,4.2,0.49,0.015,164,34782,e3,act3,iron1
17,Astra,0.84,11.4,13.6,4.0,0.48,0.008,169,19074,e3,act3,iron1
